participant_id,pair_id,Prompt_Id,condition,construct,mean_score
R010,P2,P03,A,HL,2.0
R010,P2,P03,A,PI,4.5
R010,P2,P03,B,HL,4.0
R010,P2,P03,B,PI,5.0
R010,P3,P23,A,CMP,4.0
R010,P3,P23,A,CSAT,5.0
R010,P3,P23,A,PI,3.5
R010,P3,P23,B,CMP,4.0
R010,P3,P23,B,CSAT,2.0
R010,P3,P23,B,PI,4.5
R010,P4,P07,A,CMP,3.0
R010,P4,P07,A,CSAT,5.0
R010,P4,P07,A,PI,3.5
R010,P4,P07,B,CMP,2.0
R010,P4,P07,B,CSAT,3.0
R010,P4,P07,B,PI,5.0
R010,P5,P08,A,CSAT,4.0
R010,P5,P08,A,HL,4.0
R010,P5,P08,A,PI,4.0
R010,P5,P08,B,CSAT,4.0
R010,P5,P08,B,HL,5.0
R010,P5,P08,B,PI,3.5
R011,P1,P04,A,CMP,5.0
R011,P1,P04,A,HL,3.0
R011,P1,P04,A,PI,3.5
R011,P1,P04,B,CMP,1.0
R011,P1,P04,B,HL,5.0
R011,P1,P04,B,PI,3.0
R011,P2,P03,A,HL,5.0
R011,P2,P03,A,PI,5.0
R011,P2,P03,B,HL,5.0
R011,P2,P03,B,PI,3.5
R011,P3,P23,A,CMP,5.0
R011,P3,P23,A,CSAT,4.0
R011,P3,P23,A,PI,3.5
R011,P3,P23,B,CMP,4.0
R011,P3,P23,B,CSAT,3.0
R011,P3,P23,B,PI,4.5
R011,P4,P07,A,CMP,5.0
R011,P4,P07,A,CSAT,5.0
R011,P4,P07,A,PI,4.0
R011,P4,P07,B,CMP,3.0
R011,P4,P07,B,CSAT,4.0
R011,P4,P07,B,PI,5.0
R011,P5,P08,A,CSAT,3.0
R011,P5,P08,A,HL,4.0
R011,P5,P08,A,PI,5.0
R011,P5,P08,B,CSAT,4.0
R011,P5,P08,B,HL,3.0
R011,P5,P08,B,PI,3.5
R012,P1,P04,A,CMP,4.0
R012,P1,P04,A,HL,4.0
R012,P1,P04,A,PI,4.0
R012,P1,P04,B,CMP,5.0
R012,P1,P04,B,HL,3.0
R012,P1,P04,B,PI,5.0
R012,P2,P03,A,HL,5.0
R012,P2,P03,A,PI,2.5
R012,P2,P03,B,HL,4.0
R012,P2,P03,B,PI,5.0
R012,P3,P23,A,CMP,5.0
R012,P3,P23,A,CSAT,5.0
R012,P3,P23,A,PI,4.5
R012,P3,P23,B,CMP,4.0
R012,P3,P23,B,CSAT,3.0
R012,P3,P23,B,PI,4.5
R012,P4,P07,A,CMP,5.0
R012,P4,P07,A,CSAT,4.0
R012,P4,P07,A,PI,5.0
R012,P4,P07,B,CMP,4.0
R012,P4,P07,B,CSAT,5.0
R012,P4,P07,B,PI,3.0
R012,P5,P08,A,CSAT,3.0
R012,P5,P08,A,HL,4.0
R012,P5,P08,A,PI,4.5
R012,P5,P08,B,CSAT,5.0
R012,P5,P08,B,HL,4.0
R012,P5,P08,B,PI,3.0
R013,P1,P04,A,CMP,5.0
R013,P1,P04,A,HL,4.0
R013,P1,P04,A,PI,5.0
R013,P1,P04,B,CMP,3.0
R013,P1,P04,B,HL,3.0
R013,P1,P04,B,PI,3.0
R013,P2,P03,A,HL,3.0
R013,P2,P03,A,PI,4.0
R013,P2,P03,B,HL,4.0
R013,P2,P03,B,PI,4.5
R013,P3,P23,A,CMP,5.0
R013,P3,P23,A,CSAT,5.0
R013,P3,P23,A,PI,3.5
R013,P3,P23,B,CMP,3.0
R013,P3,P23,B,CSAT,4.0
R013,P3,P23,B,PI,3.5
R013,P4,P07,A,CMP,4.0
R013,P4,P07,A,CSAT,4.0
R013,P4,P07,A,PI,3.0
R013,P4,P07,B,CMP,3.0
R013,P4,P07,B,CSAT,5.0
R013,P4,P07,B,PI,4.5
R013,P5,P08,A,CSAT,4.0
R013,P5,P08,A,HL,4.0
R013,P5,P08,A,PI,4.0
R013,P5,P08,B,CSAT,5.0
R013,P5,P08,B,HL,5.0
R013,P5,P08,B,PI,4.0
R014,P1,P04,A,CMP,3.0
R014,P1,P04,A,HL,2.0
R014,P1,P04,A,PI,4.0
R014,P1,P04,B,CMP,2.0
R014,P1,P04,B,HL,5.0
R014,P1,P04,B,PI,3.0
R014,P2,P03,A,HL,4.0
R014,P2,P03,A,PI,4.5
R014,P2,P03,B,HL,4.0
R014,P2,P03,B,PI,4.5
R014,P3,P23,A,CMP,5.0
R014,P3,P23,A,CSAT,5.0
R014,P3,P23,A,PI,3.5
R014,P3,P23,B,CMP,3.0
R014,P3,P23,B,CSAT,4.0
R014,P3,P23,B,PI,3.5
R014,P4,P07,A,CMP,3.0
R014,P4,P07,A,CSAT,4.0
R014,P4,P07,A,PI,5.0
R014,P4,P07,B,CMP,4.0
R014,P4,P07,B,CSAT,4.0
R014,P4,P07,B,PI,4.0
R014,P5,P08,A,CSAT,5.0
R014,P5,P08,A,HL,4.0
R014,P5,P08,A,PI,4.0
R014,P5,P08,B,CSAT,3.0
R014,P5,P08,B,HL,4.0
R014,P5,P08,B,PI,4.0
R015,P1,P04,A,CMP,4.0
R015,P1,P04,A,HL,3.0
R015,P1,P04,A,PI,4.0
R015,P1,P04,B,CMP,5.0
R015,P1,P04,B,HL,3.0
R015,P1,P04,B,PI,4.0
R015,P2,P03,A,HL,3.0
R015,P2,P03,A,PI,4.5
R015,P2,P03,B,HL,4.0
R015,P2,P03,B,PI,3.5
R015,P3,P23,A,CMP,4.0
R015,P3,P23,A,CSAT,4.0
R015,P3,P23,A,PI,4.5
R015,P3,P23,B,CMP,2.0
R015,P3,P23,B,CSAT,3.0
R015,P3,P23,B,PI,4.0
R015,P4,P07,A,CMP,4.0
R015,P4,P07,A,CSAT,5.0
R015,P4,P07,A,PI,3.0
R015,P4,P07,B,CMP,3.0
R015,P4,P07,B,CSAT,5.0
R015,P4,P07,B,PI,4.0
R015,P5,P08,A,CSAT,4.0
R015,P5,P08,A,HL,2.0
R015,P5,P08,A,PI,4.5
R015,P5,P08,B,CSAT,4.0
R015,P5,P08,B,HL,4.0
R015,P5,P08,B,PI,4.0
R016,P1,P04,A,CMP,5.0
R016,P1,P04,A,HL,5.0
R016,P1,P04,A,PI,4.5
R016,P1,P04,B,CMP,4.0
R016,P1,P04,B,HL,2.0
R016,P1,P04,B,PI,4.0
R016,P2,P03,A,HL,4.0
R016,P2,P03,A,PI,3.5
R016,P2,P03,B,HL,3.0
R016,P2,P03,B,PI,4.0
R016,P3,P23,A,CMP,4.0
R016,P3,P23,A,CSAT,4.0
R016,P3,P23,A,PI,3.5
R016,P3,P23,B,CMP,4.0
R016,P3,P23,B,CSAT,3.0
R016,P3,P23,B,PI,3.5
R016,P4,P07,A,CMP,4.0
R016,P4,P07,A,CSAT,1.0
R016,P4,P07,A,PI,3.0
R016,P4,P07,B,CMP,4.0
R016,P4,P07,B,CSAT,4.0
R016,P4,P07,B,PI,2.5
R016,P5,P08,A,CSAT,4.0
R016,P5,P08,A,HL,4.0
R016,P5,P08,A,PI,5.0
R016,P5,P08,B,CSAT,3.0
R016,P5,P08,B,HL,5.0
R016,P5,P08,B,PI,4.0
R017,P1,P04,A,CMP,5.0
R017,P1,P04,A,HL,3.0
R017,P1,P04,A,PI,5.0
R017,P1,P04,B,CMP,3.0
R017,P1,P04,B,HL,4.0
R017,P1,P04,B,PI,4.5
R017,P2,P03,A,HL,5.0
R017,P2,P03,A,PI,4.0
R017,P2,P03,B,HL,5.0
R017,P2,P03,B,PI,2.5
R017,P3,P23,A,CMP,3.0
R017,P3,P23,A,CSAT,3.0
R017,P3,P23,A,PI,4.0
R017,P3,P23,B,CMP,4.0
R017,P3,P23,B,CSAT,4.0
R017,P3,P23,B,PI,4.5
R017,P4,P07,A,CMP,4.0
R017,P4,P07,A,CSAT,5.0
R017,P4,P07,A,PI,4.0
R017,P4,P07,B,CMP,3.0
R017,P4,P07,B,CSAT,5.0
R017,P4,P07,B,PI,4.0
R017,P5,P08,A,CSAT,3.0
R017,P5,P08,A,HL,4.0
R017,P5,P08,A,PI,4.5
R017,P5,P08,B,CSAT,3.0
R017,P5,P08,B,HL,4.0
R017,P5,P08,B,PI,4.0
R018,P1,P04,A,CMP,4.0
R018,P1,P04,A,HL,5.0
R018,P1,P04,A,PI,5.0
R018,P1,P04,B,CMP,5.0
R018,P1,P04,B,HL,2.0
R018,P1,P04,B,PI,2.5
R018,P2,P03,A,HL,4.0
R018,P2,P03,A,PI,5.0
R018,P2,P03,B,HL,5.0
R018,P2,P03,B,PI,3.5
R018,P3,P23,A,CMP,2.0
R018,P3,P23,A,CSAT,4.0
R018,P3,P23,A,PI,3.5
R018,P3,P23,B,CMP,3.0
R018,P3,P23,B,CSAT,3.0
R018,P3,P23,B,PI,4.5
R018,P4,P07,A,CMP,5.0
R018,P4,P07,A,CSAT,3.0
R018,P4,P07,A,PI,4.5
R018,P4,P07,B,CMP,3.0
R018,P4,P07,B,CSAT,4.0
R018,P4,P07,B,PI,4.0
R018,P5,P08,A,CSAT,5.0
R018,P5,P08,A,HL,5.0
R018,P5,P08,A,PI,4.0
R018,P5,P08,B,CSAT,4.0
R018,P5,P08,B,HL,3.0
R018,P5,P08,B,PI,4.0
R019,P1,P04,A,CMP,3.0
R019,P1,P04,A,HL,4.0
R019,P1,P04,A,PI,3.5
R019,P1,P04,B,CMP,4.0
R019,P1,P04,B,HL,4.0
R019,P1,P04,B,PI,3.0
R019,P2,P03,A,HL,4.0
R019,P2,P03,A,PI,4.5
R019,P2,P03,B,HL,4.0
R019,P2,P03,B,PI,3.0
R019,P3,P23,A,CMP,3.0
R019,P3,P23,A,CSAT,1.0
R019,P3,P23,A,PI,4.0
R019,P3,P23,B,CMP,3.0
R019,P3,P23,B,CSAT,3.0
R019,P3,P23,B,PI,4.0
R019,P4,P07,A,CMP,3.0
R019,P4,P07,A,CSAT,3.0
R019,P4,P07,A,PI,2.5
R019,P4,P07,B,CMP,2.0
R019,P4,P07,B,CSAT,4.0
R019,P4,P07,B,PI,4.0
R019,P5,P08,A,CSAT,5.0
R019,P5,P08,A,HL,4.0
R019,P5,P08,A,PI,4.0
R019,P5,P08,B,CSAT,4.0
